% function evaluation | noise-free fitness - Fopt (1,026100000000e+02) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +2,906648630e+02 +2,906648630e+02 +3,932748630e+02 +3,932748630e+02 +9,3215e-01 -4,8061e-01 +3,3771e-02 -1,5687e+00 -3,2993e+00 +2,7780e+00 +4,0139e+00 +4,0302e+00 -1,7660e+00 +4,2967e+00
4 +2,482767750e+02 +2,482767750e+02 +3,508867750e+02 +3,508867750e+02 +1,2769e-01 -4,8856e-01 -5,4912e-01 +2,5017e+00 -2,0494e+00 -2,3042e+00 -2,1010e+00 -1,7567e+00 +1,1517e+00 -2,8510e+00
440 +1,480348450e+02 +1,480348450e+02 +2,506448450e+02 +2,506448450e+02 +6,7053e-01 +7,2413e-01 -1,5529e+00 -2,5986e+00 +2,6733e+00 -3,6184e+00 -9,6194e-01 +1,5449e+00 -1,4912e+00 -1,9439e+00
997 +9,673211429e+01 +9,673211429e+01 +1,993421143e+02 +1,993421143e+02 -2,1815e+00 -2,1449e+00 -1,3593e+00 +1,0353e+00 -2,6364e+00 -2,0211e-01 +5,7365e-02 -2,9698e+00 +1,1922e+00 +2,7974e+00
4999 +6,205309139e+01 +6,205309139e+01 +1,646630914e+02 +1,646630914e+02 +6,9895e-01 +6,7300e-01 +1,8333e+00 -1,3673e+00 +1,7424e+00 -4,1960e-01 -1,8302e+00 +8,8861e-01 -1,7378e+00 +6,3235e-01
165078 +3,827233102e+01 +3,827233102e+01 +1,408823310e+02 +1,408823310e+02 +1,2776e+00 +1,6962e+00 +1,8004e+00 -1,2464e+00 +1,6464e+00 -1,0176e+00 -1,9885e+00 +4,7429e-01 -1,0193e+00 -2,2719e+00
358731 +2,471437999e+01 +2,471437999e+01 +1,273243800e+02 +1,273243800e+02 +1,8635e+00 +9,9380e-01 +1,7202e+00 -1,2174e+00 +1,3748e+00 -1,0940e+00 -1,5876e+00 +1,2898e+00 -1,4615e+00 -1,0549e+00
498649 +1,406406870e+01 +1,406406870e+01 +1,166740687e+02 +1,166740687e+02 +7,1216e-01 +9,2916e-01 +1,0644e+00 -1,0474e+00 +1,8216e+00 -1,3575e+00 -1,0843e+00 +1,4646e+00 -1,5292e+00 -1,3078e+00
534631 +9,659857852e+00 +9,659857852e+00 +1,122698579e+02 +1,122698579e+02 +9,6878e-01 +7,2328e-01 +1,3195e+00 -7,8964e-01 +1,8606e+00 -1,3998e+00 -1,2331e+00 +1,7264e+00 -1,7604e+00 -1,3095e+00
552071 +6,108194934e+00 +6,108194934e+00 +1,087181949e+02 +1,087181949e+02 +7,1601e-01 +9,1503e-01 +1,0894e+00 -1,0196e+00 +1,8124e+00 -1,3768e+00 -1,0578e+00 +1,4536e+00 -1,4928e+00 -1,2920e+00
633932 +3,970190771e+00 +3,970190771e+00 +1,065801908e+02 +1,065801908e+02 +7,1243e-01 +9,2833e-01 +1,0874e+00 -1,0400e+00 +1,8195e+00 -1,3650e+00 -1,0752e+00 +1,4741e+00 -1,4980e+00 -1,3102e+00
